name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"0, 33l Jemná květákovo-pórková polévka s bylinkovými krutony";"78 Kč"
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"150g Restované nudličky z krůtích prsou ve smetanové omáčce se zauzenou paprikou restované špecle na másle, pečená paprika";"275 Kč"
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"150g Grilované medailonky z telecí kýty marinované v čerstvých bylinkách, pepřová omáčka gratinované brambory";"295 Kč"
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"0, 33l Jemná květákovo-pórková polévka s bylinkovými krutony";"78 Kč"
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"150g Restované nudličky z krůtích prsou ve smetanové omáčce se zauzenou paprikou restované špecle na másle, pečená paprika";"275 Kč"
Radegastovna Pirát;Jihomoravský;https://www.firmy.cz/detail/13207949-radegastovna-pirat-vyskov-mesto.html;None;None;49.276892;16.999239;"150g Grilované medailonky z telecí kýty marinované v čerstvých bylinkách, pepřová omáčka gratinované brambory";"295 Kč"
Samovýčep „pro dobré lidi";Jihomoravský;https://www.firmy.cz/detail/13346641-samovycep-pro-dobre-lidi-vranov.html;4.9;203;49.311334;16.606622;None;None
Restaurace U Lucerny;Jihomoravský;https://www.firmy.cz/detail/13370500-restaurace-u-lucerny-brno-veveri.html;4.8;11;49.199779;16.602026;"Opečená klobása se salátem coleslaw";"128 Kč"
Restaurace U Lucerny;Jihomoravský;https://www.firmy.cz/detail/13370500-restaurace-u-lucerny-brno-veveri.html;4.8;11;49.199779;16.602026;"Sedlácký salát, vejce, opékaný brambor, sušená rajčata, volské oko";"168 Kč"
Restaurace U Lucerny;Jihomoravský;https://www.firmy.cz/detail/13370500-restaurace-u-lucerny-brno-veveri.html;4.8;11;49.199779;16.602026;"Smažený česnekový vepřový řízek s bramborovým salátem";"178 Kč"
Restaurace U Lucerny;Jihomoravský;https://www.firmy.cz/detail/13370500-restaurace-u-lucerny-brno-veveri.html;4.8;11;49.199779;16.602026;"Okurkový salátek";"39 Kč"
Restaurace U Lucerny;Jihomoravský;https://www.firmy.cz/detail/13370500-restaurace-u-lucerny-brno-veveri.html;4.8;11;49.199779;16.602026;"Štrůdl se šlehačkou";"49 Kč"
