name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Pivnice Na Růžáku;Karlovy Vary;https://www.firmy.cz/detail/13121924-pivnice-na-ruzaku-karlovy-vary-rybare.html;2.6;2;50.237496;12.867298;None;None
Hostinec Pod Kostelem;Karlovy Vary;https://www.firmy.cz/detail/13521929-hostinec-pod-kostelem-dolni-zandov.html;4.6;6;50.018088;12.551167;None;None
Hospoda Nenucený výsek;Karlovy Vary;https://www.firmy.cz/detail/12948981-hospoda-nenuceny-vysek-kraslice.html;None;None;50.318487;12.517132;None;None
Hospoda Na Vítězné;Karlovy Vary;https://www.firmy.cz/detail/13094805-hospoda-na-vitezne-sokolov.html;5;1;50.174285;12.644975;None;None
Hospůdka Na Hřišti;Karlovy Vary;https://www.firmy.cz/detail/13116939-hospudka-na-hristi-drmoul.html;4.8;4;49.942807;12.670977;None;None
Hostinec RAF;Karlovy Vary;https://www.firmy.cz/detail/13114289-hostinec-raf-svatava.html;3.3;2;50.192783;12.630352;None;None
František Schneider;Karlovy Vary;https://www.firmy.cz/detail/13148921-frantisek-schneider-brezova-rudolec.html;5;1;50.133639;12.615781;None;None
Pivnice U Chemičky;Karlovy Vary;https://www.firmy.cz/detail/2116301-pivnice-u-chemicky-sokolov.html;3.8;3;50.179824;12.654765;None;None
Hospůdka Pod Rozhlednou;Karlovy Vary;https://www.firmy.cz/detail/13916968-hospudka-pod-rozhlednou-as.html;2.5;1;50.230831;12.203483;None;None
JF Group 21, spol. s r.o.;Karlovy Vary;https://www.firmy.cz/detail/13151109-jf-group-21-sokolov.html;5;1;50.171985;12.645194;None;None
Hospůdka Na Hraběcím;Karlovy Vary;https://www.firmy.cz/detail/13381792-hospudka-na-hrabecim-cheb.html;5;2;50.067994;12.376389;None;None
Restaurace Kasíno;Karlovy Vary;https://www.firmy.cz/detail/13134658-restaurace-kasino-nejdek.html;None;None;50.327402;12.728549;None;None
Pivnice Severka;Karlovy Vary;https://www.firmy.cz/detail/13154887-pivnice-severka-karlovy-vary-rybare.html;2.6;2;50.237535;12.852328;None;None
Pivnice U Diny;Karlovy Vary;https://www.firmy.cz/detail/12773775-pivnice-u-diny-karlovy-vary-stara-role.html;4.6;4;50.240158;12.838622;None;None
Valečská Hospoda;Karlovy Vary;https://www.firmy.cz/detail/13543324-valecska-hospoda-valec.html;4.7;2;50.174053;13.254735;None;None
Hostinec U Koupaliště 1090;Karlovy Vary;https://www.firmy.cz/detail/13136653-hostinec-u-koupaliste-1090-chodov.html;4.5;2;50.245572;12.739360;None;None
Hospoda Skalka;Karlovy Vary;https://www.firmy.cz/detail/13136303-hospoda-skalka-cheb.html;1;1;50.074210;12.355406;None;None
Republica Bar;Karlovy Vary;https://www.firmy.cz/detail/2433679-republica-bar-karlovy-vary-drahovice.html;4.5;2;50.237324;12.891565;None;None
