name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Hostinec u Vávrů;Liberecký;https://www.firmy.cz/detail/12964344-hostinec-u-vavru-liberec-vii-horni-ruzodol.html;5;1;50.756654;15.061318;None;None
Hospoda U Dubu;Liberecký;https://www.firmy.cz/detail/2355343-hospoda-u-dubu-liberec-viii-dolni-hanychov.html;4.4;14;50.747949;15.027970;None;None
Hospoda U klokana;Liberecký;https://www.firmy.cz/detail/13036450-hospoda-u-klokana-zelezny-brod.html;4.4;6;50.639489;15.262274;None;None
Hostinec U Koláče;Liberecký;https://www.firmy.cz/detail/13227341-hostinec-u-kolace-jablonne-v-podjestedi-ceska-ves.html;4.7;14;50.760299;14.760016;None;None
Košovská hospoda;Liberecký;https://www.firmy.cz/detail/13082873-kosovska-hospoda-lomnice-nad-popelkou-kosov.html;4.9;29;50.517635;15.351524;None;None
Dřevěnka;Liberecký;https://www.firmy.cz/detail/13465013-drevenka-sloup-v-cechach.html;3.1;23;50.745017;14.592113;None;None
Pohostinství Na statku;Liberecký;https://www.firmy.cz/detail/13109653-pohostinstvi-na-statku-kruh.html;5;2;50.564205;15.481518;None;None
Restaurace u Zemánků;Liberecký;https://www.firmy.cz/detail/12973519-restaurace-u-zemanku-jablonec-nad-jizerou-blansko.html;4.8;44;50.701398;15.426185;None;None
Hospůdka Na Vápence;Liberecký;https://www.firmy.cz/detail/13360493-hospudka-na-vapence-liberec-vii-horni-ruzodol.html;None;None;50.755059;15.040380;None;None
Hospoda Záhoří;Liberecký;https://www.firmy.cz/detail/13142595-hospoda-zahori-zahori-dlouhy.html;5;2;50.624932;15.253707;None;None
Hostinec U Svatého Huberta;Liberecký;https://www.firmy.cz/detail/13083830-hostinec-u-svateho-huberta-zahradky.html;4.2;104;50.634021;14.520706;None;None
Hospoda U Fondrnajů;Liberecký;https://www.firmy.cz/detail/13099988-hospoda-u-fondrnaju-haje-nad-jizerou-dolni-sytova.html;4.2;5;50.617649;15.422737;None;None
Kunratická hospůdka;Liberecký;https://www.firmy.cz/detail/12834877-kunraticka-hospudka-kunratice-u-cvikova.html;4.6;19;50.768793;14.678428;None;None
Hospůdka Na Hřišti;Liberecký;https://www.firmy.cz/detail/13117104-hospudka-na-hristi-mnisek.html;3.4;2;50.828786;15.052217;None;None
Tvoje Pivnice;Liberecký;https://www.firmy.cz/detail/13603887-tvoje-pivnice-jablonec-nad-nisou.html;None;None;50.722839;15.170194;None;None
Hospůdka Staré časy;Liberecký;https://www.firmy.cz/detail/13721898-hospudka-stare-casy-tanvald.html;5;4;50.737420;15.306119;None;None
Hospůdka Apolena;Liberecký;https://www.firmy.cz/detail/13488020-hospudka-apolena-troskovice.html;4.8;26;50.510112;15.225715;None;None
Vechtrovna;Liberecký;https://www.firmy.cz/detail/13113350-vechtrovna-rakousy.html;4.5;26;50.624304;15.181545;None;None
Hospoda Janov nad Nisou;Liberecký;https://www.firmy.cz/detail/13591540-hospoda-janov-nad-nisou-janov-nad-nisou.html;None;None;50.769761;15.168539;None;None
Hospůdka U Luďmíry;Liberecký;https://www.firmy.cz/detail/13138722-hospudka-u-ludmiry-pencin-hut.html;3.6;3;50.694798;15.250591;None;None
Hospoda na návsi Ohrazenice;Liberecký;https://www.firmy.cz/detail/13334018-hospoda-na-navsi-ohrazenice-ohrazenice.html;5;2;50.597691;15.126203;None;None
Zapomnění fantasy krčma;Liberecký;https://www.firmy.cz/detail/13336587-zapomneni-fantasy-krcma-liberec-i-stare-mesto.html;4.3;6;50.770514;15.062279;None;None
Tankovna Turnov;Liberecký;https://www.firmy.cz/detail/13353427-tankovna-turnov-turnov.html;4.8;9;50.589091;15.147907;None;None
Na Kopečku - letní zahrada s občerstvením;Liberecký;https://www.firmy.cz/detail/13114385-na-kopecku-letni-zahrada-s-obcerstvenim-chrastava-horni-chrastava.html;4.8;9;50.822011;14.982457;None;None
Mgr. Martina Chlumová;Liberecký;https://www.firmy.cz/detail/13127928-mgr-martina-chlumova-vichova-nad-jizerou.html;None;None;50.627506;15.489621;None;None
Hospoda Bažiny;Liberecký;https://www.firmy.cz/detail/13335851-hospoda-baziny-hradek-nad-nisou-loucna.html;5;1;50.850868;14.824992;None;None
Grand Pub;Liberecký;https://www.firmy.cz/detail/13804197-grand-pub-jilemnice.html;5;4;50.610827;15.498494;None;None
Hospoda Dolní Prysk;Liberecký;https://www.firmy.cz/detail/13370195-hospoda-dolni-prysk-prysk-dolni-prysk.html;4.1;3;50.795704;14.473212;None;None
AJETO Sklářská krčma;Liberecký;https://www.firmy.cz/detail/2680894-ajeto-sklarska-krcma-cvikov-lindava.html;4.4;174;50.736267;14.637505;None;None
Zahrádkářský klub - občerstvení;Liberecký;https://www.firmy.cz/detail/13502553-zahradkarsky-klub-obcerstveni-ceska-lipa.html;4.5;10;50.680480;14.522160;None;None
Hospůdka U Zámku;Liberecký;https://www.firmy.cz/detail/13206116-hospudka-u-zamku-zahradky.html;4.3;33;50.634202;14.522898;None;None
Hospoda U Kozla;Liberecký;https://www.firmy.cz/detail/13153121-hospoda-u-kozla-liberec-x-frantiskov.html;5;1;50.763742;15.039139;None;None
Hospůdka Na Rohu;Liberecký;https://www.firmy.cz/detail/2469139-hospudka-na-rohu-jablonec-nad-nisou.html;5;2;50.722778;15.154624;None;None
Hospůdka Sokolovna Mašov;Liberecký;https://www.firmy.cz/detail/13494995-hospudka-sokolovna-masov-turnov-masov.html;None;None;50.572987;15.149871;None;None
Lesní hospůdka Na Skalce;Liberecký;https://www.firmy.cz/detail/13164255-lesni-hospudka-na-skalce-blizevedly-skalka.html;4.8;122;50.586381;14.420863;None;None
Hospoda Maják;Liberecký;https://www.firmy.cz/detail/13657841-hospoda-majak-vitkovice.html;3.9;19;50.684624;15.527108;None;None
Hostinec U Hermíny;Liberecký;https://www.firmy.cz/detail/13241420-hostinec-u-herminy-paseky-nad-jizerou.html;3.8;13;50.727521;15.390161;None;None
Hospůdka Na konci sil;Liberecký;https://www.firmy.cz/detail/13014076-hospudka-na-konci-sil-blatce-houska.html;4.3;50;50.490632;14.632284;None;None
U Kašparů;Liberecký;https://www.firmy.cz/detail/13815071-u-kasparu-velke-hamry.html;3.9;2;50.717312;15.299291;None;None
Hospoda Lomnice nad Popelkou;Liberecký;https://www.firmy.cz/detail/13111114-hospoda-lomnice-nad-popelkou-lomnice-nad-popelkou.html;None;None;50.537631;15.372504;None;None
Club bar Opera;Liberecký;https://www.firmy.cz/detail/13114497-club-bar-opera-liberec-ii-nove-mesto.html;4;2;50.770556;15.051535;None;None
Hospoda Dolní Prysk;Liberecký;https://www.firmy.cz/detail/13370195-hospoda-dolni-prysk-prysk-dolni-prysk.html;4.1;3;50.795704;14.473212;None;None
Hospůdka U Máni;Liberecký;https://www.firmy.cz/detail/13119800-hospudka-u-mani-jablonec-nad-nisou-kokonin.html;4.5;1;50.708289;15.186216;None;None
Chmelnice u Pepy;Liberecký;https://www.firmy.cz/detail/13147590-chmelnice-u-pepy-ceska-lipa.html;4.9;7;50.689555;14.549387;None;None
Mexiko;Liberecký;https://www.firmy.cz/detail/12885686-mexiko-vysoke-nad-jizerou-sklenarice.html;4.1;19;50.702926;15.386420;None;None
Liberecký Výčep;Liberecký;https://www.firmy.cz/detail/13315913-liberecky-vycep-liberec-iii-jerab.html;4.9;4;50.758635;15.043902;None;None
Restaurace Hlavičanka;Liberecký;https://www.firmy.cz/detail/13694996-restaurace-hlavicanka-hlavice.html;5;2;50.631851;14.923834;None;None
Hospoda Na Podháji;Liberecký;https://www.firmy.cz/detail/13488056-hospoda-na-podhaji-modrisice.html;5;1;50.565147;15.125462;None;None
Restaurace Vlčetín;Liberecký;https://www.firmy.cz/detail/13051015-restaurace-vlcetin-bila-vlcetin.html;4.6;15;50.682581;15.016744;None;None
Hospůdka u Kodešovy skály;Liberecký;https://www.firmy.cz/detail/13244190-hospudka-u-kodesovy-skaly-hermanice.html;3.5;9;50.893602;15.017104;None;None
Pivní MiniBar;Liberecký;https://www.firmy.cz/detail/13259768-pivni-minibar-novy-bor.html;5;3;50.756281;14.554091;None;None
Hostinec Beseda;Liberecký;https://www.firmy.cz/detail/13595956-hostinec-beseda-rychnov-u-jablonce-nad-nisou.html;4.8;14;50.684927;15.148730;None;None
Hostinec U Kodrů;Liberecký;https://www.firmy.cz/detail/13474019-hostinec-u-kodru-chuchelna-lhota.html;4.8;17;50.584299;15.278815;None;None
Hausmanka U Kozy;Liberecký;https://www.firmy.cz/detail/13113273-hausmanka-u-kozy-oldrichov-v-hajich-filipka.html;4.6;130;50.863584;15.104453;None;None
Hospoda U Hrnce;Liberecký;https://www.firmy.cz/detail/12839990-hospoda-u-hrnce-josefuv-dul.html;4.8;25;50.778570;15.237536;None;None
Hospoda U Tržnice;Liberecký;https://www.firmy.cz/detail/13870826-hospoda-u-trznice-jablonec-nad-nisou.html;5;1;50.722441;15.171846;None;None
