name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Hospoda U koně;Olomoucký;https://www.firmy.cz/detail/12821627-hospoda-u-kone-olsany-u-prostejova.html;3.3;4;49.536161;17.162719;None;None
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Frankfurtská polévka";"70 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Hovězí tatarák, česnekové topinky";"290 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Vepřové koleno na černém pivu a medu, křen, hořčice, nakládaná zelenina, řemeslný chleba";"300 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Plněné bramborové knedlíky s uzeným masem a cibulkou, čerbené zelí";"210 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Řízečky z vepřové panenky, šťouchané brambory s jarní cibulkou";"240 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Loštická krkovička s tvarůžky, slaninou a cibulovou slámou, americké brambory";"280 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Grilovaná vepřová panenka s pepřovou omáčkou, americké brambory";"330 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Rump Steak z Argentinského hovězího ořechu, fazolky se slaninou, americké brambory";"390 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Křupavé pikantní kuřecí křídla, hranolky česneková omáčka";"210 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Smažený sýr gouda, hranolky, tatarská omáčka";"210 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Smažené tvarůžky, hranolky, česneková omáčka";"220 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Utopenec, řemeslný chleba";"80 Kč"
Cholinská hospoda;Olomoucký;https://www.firmy.cz/detail/13502247-cholinska-hospoda-cholina.html;5;2;49.655341;17.054990;"Nakládaný hermelín, řemeslný chleba";"90 Kč"
Hospoda U Kapličky;Olomoucký;https://www.firmy.cz/detail/13110174-hospoda-u-kaplicky-grygov.html;3.7;5;49.538052;17.310919;None;None
Hospůdka U Růžičků;Olomoucký;https://www.firmy.cz/detail/13318087-hospudka-u-ruzicku-prostejov.html;4.7;22;49.471791;17.111368;"Kuřecí špíz, opečené brambory, česnekový dip, 1, 3, 7";"150 Kč"
Hospůdka U Růžičků;Olomoucký;https://www.firmy.cz/detail/13318087-hospudka-u-ruzicku-prostejov.html;4.7;22;49.471791;17.111368;"Hovězí guláš houskový knedlík 1, 3, 7";"160 Kč"
