name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Hostinec TJ Prazdroj;Plzen;https://www.firmy.cz/detail/13152361-hostinec-tj-prazdroj-plzen-severni-predmesti.html;4.7;5;49.755701;13.380120;None;None
Saloon U Bizona;Plzen;https://www.firmy.cz/detail/13870220-saloon-u-bizona-koryta.html;5;2;49.900936;13.474816;None;None
Hostinec U Roubanky;Plzen;https://www.firmy.cz/detail/13111466-hostinec-u-roubanky-ujezd-u-planice.html;None;None;49.419713;13.459204;None;None
Hospoda U Hadamů;Plzen;https://www.firmy.cz/detail/12988249-hospoda-u-hadamu-postrekov.html;None;None;49.458013;12.804766;None;None
Hostinec Horšice;Plzen;https://www.firmy.cz/detail/13178882-hostinec-horsice-horsice.html;None;None;49.532760;13.388351;None;None
Restaurace Otov 14;Plzen;https://www.firmy.cz/detail/13117671-restaurace-otov-14-otov.html;None;None;49.486278;12.842330;None;None
Hostinec U Lípy;Plzen;https://www.firmy.cz/detail/13123031-hostinec-u-lipy-kornatice.html;4.7;9;49.659247;13.590570;None;None
Pivnice Žlutická;Plzen;https://www.firmy.cz/detail/13153993-pivnice-zluticka-plzen-bolevec.html;5;2;49.779905;13.361218;None;None
Brodská hospůdka;Plzen;https://www.firmy.cz/detail/13478567-brodska-hospudka-kladruby-brod-u-stribra.html;5;3;49.693968;12.918867;None;None
Kulturní dům;Plzen;https://www.firmy.cz/detail/13119763-kulturni-dum-uherce.html;None;None;49.700819;13.212783;None;None
Semošická hospoda;Plzen;https://www.firmy.cz/detail/1298656-semosicka-hospoda-horsovsky-tyn-semosice.html;4.9;7;49.538953;12.982252;None;None
Hospoda Tachovská
Petr Kolář;Plzen;https://www.firmy.cz/detail/13372498-hospoda-tachovska-plzen-bolevec.html;4.7;4;49.783837;13.382393;None;None
Hospoda V Lomech;Plzen;https://www.firmy.cz/detail/13690218-hospoda-v-lomech-plzen-bolevec.html;5;2;49.770779;13.358286;None;None
Hospoda Myslivna;Plzen;https://www.firmy.cz/detail/13121863-hospoda-myslivna-hradec.html;4.2;8;49.634706;13.112894;None;None
Krčma u Krokodýlího Ocasu;Plzen;https://www.firmy.cz/detail/301898-krcma-u-krokodyliho-ocasu-plzen-jizni-predmesti.html;3.8;3;49.737512;13.369411;None;None
Hospůdka U Jána;Plzen;https://www.firmy.cz/detail/13109276-hospudka-u-jana-plzen-vychodni-predmesti.html;4.8;8;49.745188;13.386602;None;None
Hostinec u kamenného mostu;Plzen;https://www.firmy.cz/detail/13204658-hostinec-u-kamenneho-mostu-manetin-rabstejn-nad-strelou.html;4.7;53;50.046094;13.294248;None;None
Hospůdka na Vršíčku;Plzen;https://www.firmy.cz/detail/13829045-hospudka-na-vrsicku-litohlavy.html;None;None;49.760069;13.569395;None;None
Hospoda Střížovice 66;Plzen;https://www.firmy.cz/detail/12891070-hospoda-strizovice-66-strizovice.html;None;None;49.611757;13.458184;None;None
Hospůdka Na Zahrádce;Plzen;https://www.firmy.cz/detail/13178377-hospudka-na-zahradce-stod.html;5;3;49.636912;13.161235;None;None
Hostinec CHODA;Plzen;https://www.firmy.cz/detail/13139491-hostinec-choda-chodska-lhota.html;4.5;1;49.358874;13.084349;None;None
Hospoda Dřevák;Plzen;https://www.firmy.cz/detail/12956551-hospoda-drevak-susice-ii.html;3;1;49.239374;13.519320;None;None
Hospoda Na Polance;Plzen;https://www.firmy.cz/detail/13139390-hospoda-na-polance-blovice.html;4.6;11;49.599776;13.534978;None;None
Restaurace Chotíkov;Plzen;https://www.firmy.cz/detail/13439664-restaurace-chotikov-chotikov.html;4.8;2;49.796498;13.315785;None;None
Hospůdka U Tří sluncí;Plzen;https://www.firmy.cz/detail/13143010-hospudka-u-tri-slunci-stankov-i.html;5;1;49.556347;13.072930;None;None
Hostinec borovy;Plzen;https://www.firmy.cz/detail/13109493-hostinec-borovy-borovy.html;None;None;49.525667;13.300020;None;None
Chrastavická hospůdka;Plzen;https://www.firmy.cz/detail/13417691-chrastavicka-hospudka-chrastavice.html;4.8;3;49.454081;12.956585;None;None
Pivnice Plzeňka;Plzen;https://www.firmy.cz/detail/13547905-pivnice-plzenka-plzen-bolevec.html;2.5;1;49.778608;13.370438;None;None
