name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
BalonCentrum;Zlínský;https://www.firmy.cz/detail/13101540-baloncentrum-brestek.html;4.5;19;49.105278;17.345110;None;None
Valašská hospůdka Horal;Zlínský;https://www.firmy.cz/detail/13049501-valasska-hospudka-horal-velke-karlovice.html;3.5;13;49.376609;18.392447;None;None
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Smash burger";"259 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Hostýnský burger";"179 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Club sandwich";"199 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Domácí pečená vepřová žebra";"259 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Grilovaná kuřecí křidýlka";"199 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Vepřové koleno v pivní marinádě";"269 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Smažený sýr";"109 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Smažený hermelín";"129 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Grilovaný hermelín";"159 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Kuřecí řízečky";"159 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Kuřecí stripsy s hranolkama";"169 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Hranolky s vepřovým trhaným masem";"179 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Batátky s vepřovým trhaným masem";"209 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Coleslaw";"69 Kč"
Hostýnský pivovar;Zlínský;https://www.firmy.cz/detail/13788083-hostynsky-pivovar-bystrice-pod-hostynem.html;4.3;6;49.401896;17.671209;"Šopský";"79 Kč"
Restaurace Tatra;Zlínský;https://www.firmy.cz/detail/2229890-restaurace-tatra-vigantice.html;4.6;15;49.443806;18.183731;None;None
Hospoda a vinotéka U Slunce;Zlínský;https://www.firmy.cz/detail/2240151-hospoda-a-vinoteka-u-slunce-vizovice.html;4;1;49.220380;17.852632;None;None
Restaurace u Kratochvílů;Zlínský;https://www.firmy.cz/detail/13029031-restaurace-u-kratochvilu-holesov-dobrotice.html;3.9;28;49.345058;17.606323;None;None
Hospoda u Karla;Zlínský;https://www.firmy.cz/detail/13713963-hospoda-u-karla-kudlovice.html;None;None;49.132448;17.456462;None;None
Hostinec Roštěnka;Zlínský;https://www.firmy.cz/detail/13110908-hostinec-rostenka-rosteni.html;4.3;2;49.366269;17.535475;None;None
Hospůdka Na Staré Kovárně;Zlínský;https://www.firmy.cz/detail/13664765-hospudka-na-stare-kovarne-tecovice.html;5;1;49.219697;17.587519;None;None
U Marků;Zlínský;https://www.firmy.cz/detail/13108354-u-marku-vsetin.html;4.5;2;49.337180;17.997629;None;None
Hostinec u Gajdošíků;Zlínský;https://www.firmy.cz/detail/13110987-hostinec-u-gajdosiku-hrobice.html;None;None;49.277361;17.790263;None;None
Hospůdka na hřišti - Fryšták;Zlínský;https://www.firmy.cz/detail/13148791-hospudka-na-hristi-frystak-frystak.html;None;None;49.278519;17.686986;None;None
Hospoda u Jima
Romana Kočendová;Zlínský;https://www.firmy.cz/detail/13139354-hospoda-u-jima-napajedla.html;None;None;49.176770;17.520725;None;None
Pivnice Na hřišti;Zlínský;https://www.firmy.cz/detail/13118932-pivnice-na-hristi-nedachlebice.html;5;2;49.102232;17.590765;None;None
Hospoda U Slezáčků;Zlínský;https://www.firmy.cz/detail/13118544-hospoda-u-slezacku-uherske-hradiste-mikovice.html;None;None;49.037838;17.504275;None;None
Hospůdka na hřišti;Zlínský;https://www.firmy.cz/detail/13355341-hospudka-na-hristi-zborovice.html;4.7;4;49.248746;17.277807;None;None
Hospoda na Vršku;Zlínský;https://www.firmy.cz/detail/13512746-hospoda-na-vrsku-kelc-nemetice.html;None;None;49.502731;17.839816;None;None
Hospoda U Pošty;Zlínský;https://www.firmy.cz/detail/13646306-hospoda-u-posty-stary-hrozenkov.html;3.2;6;48.966357;17.861984;None;None
Hospoda Bivoj;Zlínský;https://www.firmy.cz/detail/12769072-hospoda-bivoj-tecovice.html;3.9;9;49.215023;17.583464;None;None
Hostinec U Vajů;Zlínský;https://www.firmy.cz/detail/13146439-hostinec-u-vaju-zlin-kudlov.html;5;3;49.203072;17.683799;None;None
Hospoda na hřišti;Zlínský;https://www.firmy.cz/detail/13136785-hospoda-na-hristi-valasske-mezirici-jurinka.html;4.2;3;49.481917;17.949885;None;None
Nový Olymp;Zlínský;https://www.firmy.cz/detail/13304971-novy-olymp-valasske-mezirici.html;5;2;49.463931;17.981482;None;None
Hostinec U Brázdilů;Zlínský;https://www.firmy.cz/detail/13110115-hostinec-u-brazdilu-karolin.html;None;None;49.231318;17.431193;None;None
Hospůdka U Slávka;Zlínský;https://www.firmy.cz/detail/13120098-hospudka-u-slavka-vsetin-rokytnice.html;4.5;2;49.332609;17.989519;None;None
U Střešně;Zlínský;https://www.firmy.cz/detail/13111136-u-stresne-babice.html;5;1;49.120184;17.475745;None;None
Lenka Bršlicová;Zlínský;https://www.firmy.cz/detail/13150391-lenka-brslicova-uherske-hradiste-maratice.html;5;1;49.057984;17.479613;None;None
Hospoda PONORKA;Zlínský;https://www.firmy.cz/detail/13110456-hospoda-ponorka-loukov.html;4.8;3;49.419986;17.720175;None;None
Pohostinství U tří líp;Zlínský;https://www.firmy.cz/detail/13108717-pohostinstvi-u-tri-lip-holesov-kolicin.html;4.5;1;49.333278;17.523374;None;None
Koliba Zděchov;Zlínský;https://www.firmy.cz/detail/13522049-koliba-zdechov-zdechov.html;5;4;49.260966;18.073021;None;None
Bouda U Čerta;Zlínský;https://www.firmy.cz/detail/13349883-bouda-u-certa-holesov.html;4.7;3;49.327917;17.572129;None;None
Hospůdka U Kovaříků;Zlínský;https://www.firmy.cz/detail/1979839-hospudka-u-kovariku-uherske-hradiste-sady.html;5;13;49.050866;17.485486;None;None
Hostinec U Maliňáků;Zlínský;https://www.firmy.cz/detail/1983739-hostinec-u-malinaku-ujezd.html;5;1;49.169062;17.906162;None;None
Hospoda a pivotéka Vršava;Zlínský;https://www.firmy.cz/detail/13528705-hospoda-a-pivoteka-vrsava-zlin.html;4.6;6;49.240921;17.688707;None;None
Restaurace U Buchlovského zámku;Zlínský;https://www.firmy.cz/detail/13659659-restaurace-u-buchlovskeho-zamku-buchlovice.html;4.7;54;49.084480;17.334514;None;None
Hospůdka Na hřišti;Zlínský;https://www.firmy.cz/detail/13146317-hospudka-na-hristi-bystrice-pod-lopenikem.html;4.7;8;48.974692;17.754571;None;None
Hospoda U Hašů;Zlínský;https://www.firmy.cz/detail/13730214-hospoda-u-hasu-susice.html;5;1;49.121957;17.452249;None;None
Hospoda Bílany;Zlínský;https://www.firmy.cz/detail/13110652-hospoda-bilany-kromeriz-bilany.html;4.5;4;49.311979;17.425131;None;None
Stará Kotelna;Zlínský;https://www.firmy.cz/detail/13011148-stara-kotelna-uherske-hradiste-jarosov.html;5;1;49.087212;17.502538;None;None
Hospoda u hřiště;Zlínský;https://www.firmy.cz/detail/13501473-hospoda-u-hriste-bezmerov.html;5;3;49.328705;17.338873;None;None
Hospoda MAT;Zlínský;https://www.firmy.cz/detail/567107-hospoda-mat-luhacovice.html;4.7;5;49.094389;17.741919;None;None
Hospoda PONORKA;Zlínský;https://www.firmy.cz/detail/13110456-hospoda-ponorka-loukov.html;4.8;3;49.419986;17.720175;None;None
Hospůdka na Klempírně;Zlínský;https://www.firmy.cz/detail/13139697-hospudka-na-klempirne-bystrice-pod-hostynem.html;3.9;2;49.399715;17.676798;None;None
Hospoda Skala Zašová;Zlínský;https://www.firmy.cz/detail/13078689-hospoda-skala-zasova-zasova.html;4.6;4;49.484136;18.042042;None;None
Hospoda Veletiny 2;Zlínský;https://www.firmy.cz/detail/13060336-hospoda-veletiny-2-veletiny.html;5;2;49.036828;17.561205;None;None
Hospoda Na Mýtě;Zlínský;https://www.firmy.cz/detail/13114879-hospoda-na-myte-vitonice.html;5;1;49.448630;17.693940;None;None
Dolní hospoda;Zlínský;https://www.firmy.cz/detail/13778489-dolni-hospoda-katerinice.html;5;1;49.377999;17.900114;None;None
Hostinec Na hřišti;Zlínský;https://www.firmy.cz/detail/13104811-hostinec-na-hristi-bojkovice.html;None;None;49.041776;17.818762;None;None
Hospoda Kostelec u Holešova 236;Zlínský;https://www.firmy.cz/detail/13114096-hospoda-kostelec-u-holesova-236-kostelec-u-holesova.html;5;2;49.384957;17.516905;None;None
Soptík Bar;Zlínský;https://www.firmy.cz/detail/13356523-soptik-bar-zlin.html;5;2;49.218810;17.644923;None;None
Hospůdka Šenk Na žabě;Zlínský;https://www.firmy.cz/detail/13369490-hospudka-senk-na-zabe-frystak-horni-ves.html;4.6;18;49.296071;17.699606;None;None
Hostinec U ZEMSKÉ OSY;Zlínský;https://www.firmy.cz/detail/13041718-hostinec-u-zemske-osy-mrlinek.html;None;None;49.428312;17.677441;None;None
Hostinec Bohuslavice nad Vláří;Zlínský;https://www.firmy.cz/detail/13149436-hostinec-bohuslavice-nad-vlari-bohuslavice-nad-vlari.html;1;2;49.089999;17.929803;None;None
Jana Kovaříková;Zlínský;https://www.firmy.cz/detail/13114243-jana-kovarikova-vizovice.html;None;None;49.224301;17.863586;None;None
Hospoda U Sklenaříků;Zlínský;https://www.firmy.cz/detail/13207734-hospoda-u-sklenariku-halenkovice.html;4.2;3;49.160836;17.466919;None;None
Hospoda U Pavlíků;Zlínský;https://www.firmy.cz/detail/155165-hospoda-u-pavliku-lidecko.html;4.3;8;49.201534;18.051279;None;None
Pohostinství Na Obecním;Zlínský;https://www.firmy.cz/detail/13058161-pohostinstvi-na-obecnim-ostrozska-lhota.html;3.6;2;48.975502;17.467553;None;None
Hospoda U tří soudků;Zlínský;https://www.firmy.cz/detail/13344642-hospoda-u-tri-soudku-strelna.html;3.6;3;49.177193;18.102497;None;None
Hospoda U Huberta;Zlínský;https://www.firmy.cz/detail/13108477-hospoda-u-huberta-topolna.html;None;None;49.121558;17.543665;None;None
Hospůdka Pod lípou;Zlínský;https://www.firmy.cz/detail/13110384-hospudka-pod-lipou-leskovec.html;4.7;3;49.286505;17.999108;None;None
CROSS Bernard;Zlínský;https://www.firmy.cz/detail/13745806-cross-bernard-jalubi.html;None;None;49.119461;17.426154;None;None
Hospoda U Žáků;Zlínský;https://www.firmy.cz/detail/13107159-hospoda-u-zaku-frystak-dolni-ves.html;4.5;21;49.282372;17.682919;None;None
Hospoda u Panáčka;Zlínský;https://www.firmy.cz/detail/13348341-hospoda-u-panacka-katerinice.html;5;2;49.385639;17.881451;None;None
Hospoda Horní Lhota 151;Zlínský;https://www.firmy.cz/detail/13114044-hospoda-horni-lhota-151-horni-lhota.html;3.1;2;49.154236;17.803607;None;None
Hospůdka na Rafandově;Zlínský;https://www.firmy.cz/detail/13695425-hospudka-na-rafandove-brumov-bylnice-svaty-stepan.html;2.9;4;49.045930;18.033438;None;None
Hostinec Kladeruby;Zlínský;https://www.firmy.cz/detail/13114446-hostinec-kladeruby-kladeruby.html;4.5;1;49.492553;17.865205;None;None
Hospoda Na Kovárně;Zlínský;https://www.firmy.cz/detail/13116975-hospoda-na-kovarne-nivnice.html;4.5;1;48.972856;17.649131;None;None
Hospoda U Kokavců;Zlínský;https://www.firmy.cz/detail/13108646-hospoda-u-kokavcu-uherske-hradiste.html;2.9;2;49.071792;17.452436;None;None
Mistřická hospoda;Zlínský;https://www.firmy.cz/detail/13109396-mistricka-hospoda-mistrice.html;5;1;49.087709;17.534984;None;None
Hostinec Šarovy 70;Zlínský;https://www.firmy.cz/detail/2207626-hostinec-sarovy-70-sarovy.html;4.8;3;49.148526;17.606966;None;None
Hospoda Na Rudém;Zlínský;https://www.firmy.cz/detail/13099629-hospoda-na-rudem-stare-mesto.html;4;17;49.079061;17.445676;None;None
HOSTINEC U ČÁPA;Zlínský;https://www.firmy.cz/detail/13117337-hostinec-u-capa-hulin-zahlinice.html;4.1;15;49.290761;17.486971;None;None
Hostinec Litenčice 151;Zlínský;https://www.firmy.cz/detail/12735211-hostinec-litencice-151-litencice.html;None;None;49.201862;17.208989;None;None
Hospoda Zámecká 317;Zlínský;https://www.firmy.cz/detail/13113988-hospoda-zamecka-317-strilky.html;2.5;1;49.143633;17.210748;None;None
Hospůdka U kruháče;Zlínský;https://www.firmy.cz/detail/13710832-hospudka-u-kruhace-bystrice-pod-hostynem.html;None;None;49.398067;17.678954;None;None
Pivnice Hami;Zlínský;https://www.firmy.cz/detail/13584921-pivnice-hami-ostrozska-nova-ves.html;None;None;49.007277;17.437356;None;None
Hostinec Jalubí;Zlínský;https://www.firmy.cz/detail/13109168-hostinec-jalubi-jalubi.html;4.5;1;49.118471;17.427817;None;None
Pohostinstvi Na Pivovárce;Zlínský;https://www.firmy.cz/detail/13110447-pohostinstvi-na-pivovarce-loucka.html;5;1;49.437649;17.835439;None;None
Hospoda U Zemské osy;Zlínský;https://www.firmy.cz/detail/13233186-hospoda-u-zemske-osy-ublo.html;4.8;2;49.229612;17.905279;None;None
Hospůdka Na Hřišti;Zlínský;https://www.firmy.cz/detail/13110304-hospudka-na-hristi-halenkovice.html;5;2;49.169607;17.472624;None;None
Hospoda U Hřebčína;Zlínský;https://www.firmy.cz/detail/13524488-hospoda-u-hrebcina-tlumacov.html;5;1;49.248500;17.500022;None;None
H-Club Břest;Zlínský;https://www.firmy.cz/detail/13110700-h-club-brest-brest.html;None;None;49.350255;17.431956;None;None
Hospůdka u Knapů;Zlínský;https://www.firmy.cz/detail/12754892-hospudka-u-knapu-zlin.html;5;1;49.222663;17.676880;None;None
Hospoda Na Hřišti;Zlínský;https://www.firmy.cz/detail/13122275-hospoda-na-hristi-zlin-jaroslavice.html;5;3;49.210230;17.707921;None;None
U Rybičky
U Rybiček, s.r.o.;Zlínský;https://www.firmy.cz/detail/13119431-u-rybicky-babice.html;4.2;51;49.116877;17.484509;None;None
Hospůdka Dřevěnice;Zlínský;https://www.firmy.cz/detail/13283491-hospudka-drevenice-otrokovice-kvitkovice.html;4.7;2;49.205004;17.542866;None;None
Hospoda u Komára;Zlínský;https://www.firmy.cz/detail/13539064-hospoda-u-komara-ludkovice.html;4.8;3;49.113357;17.726291;None;None
Hospůdka Na škole;Zlínský;https://www.firmy.cz/detail/13856885-hospudka-na-skole-cetechovice.html;5;1;49.173596;17.259468;None;None
Hobovka - naše hospůdka v Jezerném;Zlínský;https://www.firmy.cz/detail/13720305-hobovka-nase-hospudka-v-jezernem-velke-karlovice.html;4.9;14;49.377882;18.278761;None;None
Hospoda Na Hamrech;Zlínský;https://www.firmy.cz/detail/2549761-hospoda-na-hamrech-rajnochovice.html;4;15;49.414194;17.808905;None;None
Hospoda na sedmičce;Zlínský;https://www.firmy.cz/detail/13120223-hospoda-na-sedmicce-velky-orechov.html;4.8;2;49.109082;17.668184;None;None
