name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Hospůdka U Musilů;Ústecký;https://www.firmy.cz/detail/13847654-hospudka-u-musilu-lhotka-nad-labem.html;5;6;50.525166;14.047046;None;None
Hospoda Pod Schodama;Ústecký;https://www.firmy.cz/detail/13288919-hospoda-pod-schodama-bilina-teplicke-predmesti.html;3.7;3;50.553562;13.773813;None;None
Družice;Ústecký;https://www.firmy.cz/detail/13134835-druzice-mezibori.html;3.7;3;50.623469;13.605403;None;None
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Caprese salát (mozzarella, rajčata)";"135 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Šopský salát";"135 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Míchaná vajíčka na cibulce, pečivo";"95 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Hemenex, pečivo";"99 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Topinka s česnekem";"40 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Ďábelská topinka";"140 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Topinka se šunkou, vejcem a sýrem";"135 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Domácí bramboráčky";"100 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Grilovaná klobása, chléb, hořčice";"99 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Smažený řízek (kuřecí nebo vepřový)";"159 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Nudličky na smetaně se žampiony a pórkem";"199 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Selský špíz";"219 Kč"
Hospoda Na statku;Ústecký;https://www.firmy.cz/detail/13233018-hospoda-na-statku-havran.html;4.6;62;50.447799;13.595681;"Kuřecí přírodní plátek zapečený se šunkou a sýrem";"199 Kč"
