name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Restaurace - Hospůdka Bobovka Lipno;Jihočeský;https://www.firmy.cz/detail/13821716-restaurace-hospudka-bobovka-lipno-lipno-nad-vltavou-slupecna.html;4.6;55;48.646700;14.221776;None;None
Restaurace Holenský Dvůr;Jihočeský;https://www.firmy.cz/detail/13499441-restaurace-holensky-dvur-ratibor.html;4.3;28;49.153368;14.882953;None;None
Chatový tábor Malý Ratmírov;Jihočeský;https://www.firmy.cz/detail/13264069-chatovy-tabor-maly-ratmirov-blazejov-maly-ratmirov.html;4.2;39;49.140481;15.116193;None;None
Hospoda U Dračice;Jihočeský;https://www.firmy.cz/detail/13833074-hospoda-u-dracice-suchdol-nad-luznici-frantiskov.html;4.9;74;48.894457;14.937499;None;None
HOSPODA POD HRÁZÍ;Jihočeský;https://www.firmy.cz/detail/13399003-hospoda-pod-hrazi-temelin-lhota-pod-horami.html;5;1;49.182687;14.319426;None;None
Hospoda Sviny;Jihočeský;https://www.firmy.cz/detail/13256758-hospoda-sviny-sviny.html;5;3;49.187193;14.635700;None;None
Hospoda u Vikinga;Jihočeský;https://www.firmy.cz/detail/12988080-hospoda-u-vikinga-vetrni-haslovice.html;4.5;38;48.749645;14.324299;None;None
Věra Sedláčková;Jihočeský;https://www.firmy.cz/detail/13297134-vera-sedlackova-mojne.html;None;None;48.835235;14.408826;None;None
Hospoda U Jandů;Jihočeský;https://www.firmy.cz/detail/13109491-hospoda-u-jandu-nemcice.html;4.5;1;49.031894;14.273077;None;None
Hostinec Na Rozcestí;Jihočeský;https://www.firmy.cz/detail/13747939-hostinec-na-rozcesti-volenice.html;5;1;49.253737;13.747825;None;None
Pivnice U Vousatýho pulitru;Jihočeský;https://www.firmy.cz/detail/13678847-pivnice-u-vousatyho-pulitru-ceske-budejovice-1.html;4.2;31;48.972812;14.472640;None;None
Hostinec Pod Buky;Jihočeský;https://www.firmy.cz/detail/13379482-hostinec-pod-buky-pojbuky.html;5;1;49.497501;14.896178;None;None
Hospoda Na Rynku;Jihočeský;https://www.firmy.cz/detail/13257424-hospoda-na-rynku-dirna.html;4.7;54;49.243147;14.845829;None;None
Hostinec Vícemil;Jihočeský;https://www.firmy.cz/detail/13501407-hostinec-vicemil-vicemil.html;4.5;1;49.263759;14.893560;None;None
Pivní bar Šimi;Jihočeský;https://www.firmy.cz/detail/13273401-pivni-bar-simi-ceske-budejovice-2.html;None;None;48.995099;14.453658;None;None
Hospoda Třebohostice 49;Jihočeský;https://www.firmy.cz/detail/13139801-hospoda-trebohostice-49-trebohostice-zadni-zborovice.html;None;None;49.330877;13.845245;None;None
Klub Šnek;Jihočeský;https://www.firmy.cz/detail/13110928-klub-snek-cesky-krumlov-latran.html;3;2;48.814407;14.317232;None;None
Penzion a Hospoda Na statku;Jihočeský;https://www.firmy.cz/detail/12781746-penzion-a-hospoda-na-statku-hluboka-nad-vltavou-bavorovice.html;4.7;18;49.022802;14.441927;None;None
Hospoda Rataje;Jihočeský;https://www.firmy.cz/detail/13111031-hospoda-rataje-rataje.html;4.6;3;49.349781;14.445260;None;None
Pivnice Spilka;Jihočeský;https://www.firmy.cz/detail/13320431-pivnice-spilka-ostrolovsky-ujezd.html;3.7;2;48.880671;14.600214;None;None
Obecní Hospoda;Jihočeský;https://www.firmy.cz/detail/13114454-obecni-hospoda-rovna.html;None;None;49.286271;13.954036;None;None
Sedelská hospoda;Jihočeský;https://www.firmy.cz/detail/13164160-sedelska-hospoda-cimer-sedlo.html;4.7;26;49.046233;15.036617;None;None
Hospůdka "U Splavu";Jihočeský;https://www.firmy.cz/detail/13000983-hospudka-u-splavu-putim.html;4;20;49.264793;14.117002;None;None
Hospoda U Králů;Jihočeský;https://www.firmy.cz/detail/13865891-hospoda-u-kralu-albrechtice-nad-vltavou.html;None;None;49.256157;14.308287;None;None
Restaurace Pracejovice 21;Jihočeský;https://www.firmy.cz/detail/13117979-restaurace-pracejovice-21-pracejovice.html;5;1;49.258005;13.850166;None;None
Hospoda Předotice 24;Jihočeský;https://www.firmy.cz/detail/13134371-hospoda-predotice-24-predotice.html;None;None;49.364939;14.053514;None;None
Hospůdka NA ŠPEJCHAŘE;Jihočeský;https://www.firmy.cz/detail/13369858-hospudka-na-spejchare-srubec-stara-pohurka.html;4.5;1;48.961130;14.522868;None;None
Hostinec Jindřiš;Jihočeský;https://www.firmy.cz/detail/13683230-hostinec-jindris-rodvinov-jindris.html;4.7;6;49.148974;15.060929;None;None
Hospůdka U Bílků;Jihočeský;https://www.firmy.cz/detail/13111978-hospudka-u-bilku-dolni-pena.html;None;None;49.110327;15.021749;None;None
Pohostinstí U Márů;Jihočeský;https://www.firmy.cz/detail/2160935-pohostinsti-u-maru-kucer.html;4.8;34;49.433647;14.246578;None;None
U Malého jezu;Jihočeský;https://www.firmy.cz/detail/13409017-u-maleho-jezu-ceske-budejovice-7.html;4.6;7;48.960450;14.477492;None;None
Obecní hostinec;Jihočeský;https://www.firmy.cz/detail/13104030-obecni-hostinec-nicov.html;4.5;39;49.124000;13.619917;None;None
Jasánkova Hospůdka;Jihočeský;https://www.firmy.cz/detail/13133927-jasankova-hospudka-vlachovo-brezi.html;None;None;49.080911;13.958760;None;None
Hospůdka Na Hradě;Jihočeský;https://www.firmy.cz/detail/12896033-hospudka-na-hrade-jistebnice.html;4.4;6;49.485774;14.528488;None;None
