name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Pivovarský dům Benedict;Prague;https://www.firmy.cz/detail/13503510-pivovarsky-dum-benedict-praha-nove-mesto.html;4.7;116;50.075451;14.423677;None;None
U Matěje Kotrby - Restaurace a Bar;Prague;https://www.firmy.cz/detail/2004407-u-mateje-kotrby-restaurace-a-bar-praha-nove-mesto.html;4.5;70;50.079464;14.416620;None;None
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"130g Sví?ková na smetan?, houskový knedlík, brusinkový ter?";"195 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"130g Hov?zí gulá? s houskovým knedlíkem";"175 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"130g Pe?ená vep?ová plec se zelím a houskovým knedlíkem";"155 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"130g Moravský vrabec se ?penátem a bramborovým knedlíkem";"165 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"130g Pe?ené kr?tí stehno (b. k) se ?penátem a bramborovým knedlíkem";"165 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"150g Sma?ený ku?ecí ?ízek s bramborem, okurka";"175 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"150g Sma?ený vep?ový ?ízek s bramborovým salátem";"175 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"150g Sma?ený kapr s bramborovým salátem";"165 Kč"
Penzion-restaurant U Hofmanů;Prague;https://www.firmy.cz/detail/12866962-penzion-restaurant-u-hofmanu-praha-kobylisy.html;3.6;53;50.122563;14.454215;"150g Sma?ené kalamáry s bramborem a tatarskou omá?kou";"175 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"150 g Hovězí tatarák z falešné svíčkové, sekaná cibulka, koření, česnekové topinky";"249 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"150 g Grilované klobásky dle nabídky /jehněčí, telecí, vepřové/, dva druhy hořčice, salát z kysaného zelí";"189 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"3 Ks Olomoucké tvarůžky ve slanině balené a v pivním těstíčku smažené, hořčice, cibulka";"149 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"200 g Hovězí steak dle nabídky, silná omáčka se zeleným pepřem, bramborové hranolky";"319 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"200 g Filírovaná vepřová panenka, smetanová omáčka s liškami, šťouchané brambory";"299 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"1300 g Vepřové koleno pečené do křupava, petrželové pesto, salát z kysaného zelí, hořčice, křen";"329 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"200 g Tradiční svíčková na smetaně s brusinkami, houskovým a karlovarským knedlíkem";"249 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"250 g Smažený vepřový řízek "Sloní ucho", šťouchané brambory";"249 Kč"
Restaurace U Sedlerů;Prague;https://www.firmy.cz/detail/2589014-restaurace-u-sedleru-praha-nove-mesto.html;3.7;18;50.077176;14.419194;"200 g Smažené kuřecí řízečky v bylinkové strouhance, šťouchané brambory";"229 Kč"
