name;region;url;rating;number_of_reviews;latitude;longitude;menu_item;price
Stodola Herink;Středočeský;https://www.firmy.cz/detail/13039485-stodola-herink-herink.html;4.7;69;49.967578;14.575496;None;None
Hostinec RACEK;Středočeský;https://www.firmy.cz/detail/13464785-hostinec-racek-tynec-nad-labem.html;4.2;48;50.042324;15.357479;None;None
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Hovězí vývar s játrovými knedlíčky a nudlemi";"55 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Bramboračka";"48 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Hovězí po pražsku (šunka, vejce) , rýže";"178 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Vepřové nudličky v dijonské omáčce, hranolky";"175 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Brambory";"209 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Sekaná svíčková, houskové knedlíky";"165 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Smažená vinná klobása, bramborová kaše, kyselá okurka";"168 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"180g Kuřecí medailonky, hříbková omáčka, krokety";"239 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Medovník se šlehačkou";"69 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Čokoládový dort";"75 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"100g Tatarský biftek z pravé svíčkové, 4ks topinek";"189 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"80g Topinka s pikantní kuřecí směsí a sýrem";"125 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"60g Pražené mandle s tymiánem a chilli";"85 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Tlačenka s cibulí a octem, chléb";"65 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"1ks Nakládaný hermelín, chléb";"85 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Vývar s knedlíčky";"60 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Telecí Hanger steak s pepřovou omáčkou";"285 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Grilovaný Rump steak s marinovanou cibulkou a bylinkovým dipem";"305 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Hovězí burger, steakové hranolky";"255 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"750g Vepřová žebírka na medu a chilli, hořčice, křen, chléb";"285 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"1kg Pečené koleno, hořčice, křen, chléb";"305 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Vepřová panenka se smetanovo-hříbkovou omáčkou";"265 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Řezy z vepřové panenky na fazolových luscích se slaninou";"265 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Grilovaná krkovička s restovanou slaninou, česnekem, cibulí a feferonkou";"235 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Vepřové nudličky se zeleninou a žampiony";"205 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Kuřecí steak na bylinkách s grilovanou zeleninou";"255 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Ďábelská pánev";"205 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Kuřecí medailonky s omáčkou z modrého sýra";"245 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"180g Smažený kuřecí/vepřový řízek";"165 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"250g Bramborové noky s kuřecím masem, špenátem v sýrové omáčce, parmezán";"205 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"100g Smažený sýr, tatarská omáčka";"135 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Caesar salát (římský salát, rajčata, kuřecí maso 150g, ančovičkový dressing parmazán, krutony)";"225 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Šopský salát s balkánským";"85 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"300g Pestrý salát s grilovaným hovězím";"225 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Zmrzlinový pohár s horkými malinami";"125 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"Dort dle výběru";"75 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Smažené hranolky";"50 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Vařené brambory s máslem a petrželkou";"40 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"3ks Domácí bramboráčky";"55 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"200g Grilovaná čerstvá zelenina (rajčata, cuketa paprika červená cibule, rozmarýn)";"95 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Opečené brambory";"45 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"150g Vařená rýže";"45 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"1ks Chléb, rohlík";"10 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"1ks Topinka";"15 Kč"
Hostinec Na Hrázi;Středočeský;https://www.firmy.cz/detail/13043568-hostinec-na-hrazi-podebrady-iii.html;4.4;69;50.142118;15.129230;"50g Tatarská omáčka";"25 Kč"
